diseaseextid,relation,gene_idx
D010490,ASSOCIATE,5743
D010490,ASSOCIATE,5327
D014605,ASSOCIATE,6648
D014605,ASSOCIATE,213
D014605,ASSOCIATE,3313
D014605,ASSOCIATE,794
D014605,ASSOCIATE,6295
D014605,ASSOCIATE,5949
D014605,ASSOCIATE,1409
D014605,ASSOCIATE,1415
D014605,ASSOCIATE,5176
D003117,ASSOCIATE,2780
D003117,ASSOCIATE,22926
D003117,ASSOCIATE,1261
D003117,ASSOCIATE,5149
D003117,ASSOCIATE,54714
D014786,ASSOCIATE,7274
D014786,ASSOCIATE,79042
D014786,ASSOCIATE,6314
D014786,ASSOCIATE,54982
D014786,ASSOCIATE,80746
D014786,ASSOCIATE,283989
D013684,ASSOCIATE,3269
D002313,ASSOCIATE,7137
D011041,ASSOCIATE,43
D011041,ASSOCIATE,213
D011041,ASSOCIATE,2932
D011041,ASSOCIATE,1029
D011041,ASSOCIATE,1030
D011041,ASSOCIATE,1471
D011041,ASSOCIATE,5591
D011041,ASSOCIATE,4051
D011041,ASSOCIATE,165904
D011041,ASSOCIATE,9421
D015431,ASSOCIATE,6647
D015431,ASSOCIATE,3952
D015431,ASSOCIATE,7099
D015431,ASSOCIATE,9370
D015431,ASSOCIATE,929
D015431,ASSOCIATE,4137
D015431,ASSOCIATE,59272
D015431,ASSOCIATE,3630
D015431,ASSOCIATE,6622
D015431,ASSOCIATE,5443
D015431,ASSOCIATE,9474
D015431,ASSOCIATE,135
D015431,ASSOCIATE,4852
D015431,ASSOCIATE,1831
D015431,ASSOCIATE,1392
D015431,ASSOCIATE,1268
D015431,ASSOCIATE,1280
D015431,ASSOCIATE,3976
D015431,ASSOCIATE,7098
D015431,ASSOCIATE,10533
D015431,ASSOCIATE,120892
D015431,ASSOCIATE,54982
D015431,ASSOCIATE,80216
D015431,ASSOCIATE,5020
D015431,ASSOCIATE,16334
D015431,ASSOCIATE,3440
D015431,ASSOCIATE,19702
D015431,ASSOCIATE,3586
D015431,ASSOCIATE,1269
D015431,ASSOCIATE,16333
D015431,ASSOCIATE,3565
D015431,ASSOCIATE,196
D015431,ASSOCIATE,1636
D015431,ASSOCIATE,17748
D015431,ASSOCIATE,10468
D015431,ASSOCIATE,2056
D015431,ASSOCIATE,2688
D015431,ASSOCIATE,4057
D015431,ASSOCIATE,23409
D015431,ASSOCIATE,25342821
D002547,ASSOCIATE,5443
D000744,ASSOCIATE,6563
D017118,ASSOCIATE,3145
D006973,ASSOCIATE,7124
D006973,ASSOCIATE,3553
D006973,ASSOCIATE,3569
D006973,ASSOCIATE,2353
D006973,ASSOCIATE,4843
D006973,ASSOCIATE,847
D006973,ASSOCIATE,5972
D006973,ASSOCIATE,596
D006973,ASSOCIATE,7040
D006973,ASSOCIATE,5970
D006973,ASSOCIATE,1906
D006973,ASSOCIATE,6648
D006973,ASSOCIATE,6347
D006973,ASSOCIATE,3725
D006973,ASSOCIATE,7157
D006973,ASSOCIATE,4318
D006973,ASSOCIATE,7054
D006973,ASSOCIATE,4313
D006973,ASSOCIATE,4780
D006973,ASSOCIATE,2932
D006973,ASSOCIATE,1277
D006973,ASSOCIATE,3383
D006973,ASSOCIATE,5054
D006973,ASSOCIATE,3952
D006973,ASSOCIATE,2335
D006973,ASSOCIATE,7412
D006973,ASSOCIATE,2908
D006973,ASSOCIATE,9370
D006973,ASSOCIATE,1636
D006973,ASSOCIATE,1536
D006973,ASSOCIATE,1543
D006973,ASSOCIATE,3972
D006973,ASSOCIATE,2876
D006973,ASSOCIATE,2729
D006973,ASSOCIATE,7076
D006973,ASSOCIATE,1281
D006973,ASSOCIATE,653361
D006973,ASSOCIATE,1490
D006973,ASSOCIATE,2950
D006973,ASSOCIATE,4023
D006973,ASSOCIATE,1535
D006973,ASSOCIATE,948
D006973,ASSOCIATE,7099
D006973,ASSOCIATE,50507
D006973,ASSOCIATE,2697
D006973,ASSOCIATE,857
D006973,ASSOCIATE,1401
D006973,ASSOCIATE,348
D006973,ASSOCIATE,7351
D006973,ASSOCIATE,1813
D006973,ASSOCIATE,153
D006973,ASSOCIATE,4625
D006973,ASSOCIATE,1909
D006973,ASSOCIATE,2475
D006973,ASSOCIATE,5580
D006973,ASSOCIATE,5728
D006973,ASSOCIATE,3146
D006973,ASSOCIATE,2571
D006973,ASSOCIATE,4363
D006973,ASSOCIATE,2920
D006973,ASSOCIATE,367
D006973,ASSOCIATE,185
D006973,ASSOCIATE,5327
D006973,ASSOCIATE,186
D006973,ASSOCIATE,3291
D006973,ASSOCIATE,2056
D006973,ASSOCIATE,3551
D006973,ASSOCIATE,551
D006973,ASSOCIATE,301
D006973,ASSOCIATE,196
D006973,ASSOCIATE,3827
D006973,ASSOCIATE,3953
D006973,ASSOCIATE,6198
D006973,ASSOCIATE,3290
D006973,ASSOCIATE,335
D006973,ASSOCIATE,7421
D006973,ASSOCIATE,51083
D006973,ASSOCIATE,476
D006973,ASSOCIATE,210
D006973,ASSOCIATE,2952
D006973,ASSOCIATE,2643
D006973,ASSOCIATE,7450
D006973,ASSOCIATE,7168
D006973,ASSOCIATE,2778
D006973,ASSOCIATE,8870
D006973,ASSOCIATE,177
D006973,ASSOCIATE,3240
D006973,ASSOCIATE,358
D006973,ASSOCIATE,875
D006973,ASSOCIATE,1847
D006973,ASSOCIATE,5340
D006973,ASSOCIATE,1889
D006973,ASSOCIATE,4973
D006973,ASSOCIATE,150
D006973,ASSOCIATE,246
D006973,ASSOCIATE,6558
D006973,ASSOCIATE,6337
D006973,ASSOCIATE,4615
D006973,ASSOCIATE,2796
D006973,ASSOCIATE,477
D006973,ASSOCIATE,775
D006973,ASSOCIATE,6403
