diseaseextid,name
D000014,"Abnormalities, Drug-Induced"
D058186,Acute Kidney Injury
D000647,Amnesia
D000741,"Anemia, Aplastic"
D000743,"Anemia, Hemolytic"
D000749,"Anemia, Megaloblastic"
D000799,Angioedema
D001145,"Arrhythmias, Cardiac"
D018771,Arthralgia
D001168,Arthritis
D001171,"Arthritis, Juvenile"
D001172,"Arthritis, Rheumatoid"
D054537,Atrioventricular Block
D001480,Basal Ganglia Diseases
D001714,Bipolar Disorder
D001766,Blindness
D001927,Brain Diseases
D001943,Breast Neoplasms
D002037,Bundle-Branch Block
D002286,"Carcinoma, Ehrlich Tumor"
D006528,"Carcinoma, Hepatocellular"
D006332,Cardiomegaly
D009202,Cardiomyopathies
D002312,"Cardiomyopathy, Hypertrophic"
D002313,"Cardiomyopathy, Restrictive"
D002375,Catalepsy
D002494,Central Nervous System Infections
D056486,Chemical and Drug Induced Liver Injury
D065632,Chikungunya Fever
D003117,Color Vision Defects
D003128,Coma
D003240,Connective Tissue Diseases
D003316,Corneal Diseases
D018352,Coronavirus Infections
D000086382,COVID-19
D003693,Delirium
D003711,Demyelinating Diseases
D003866,Depressive Disorder
D003872,Dermatitis
D003873,"Dermatitis, Exfoliative"
D017454,"Dermatitis, Photoallergic"
D004172,Diplopia
D004195,"Disease Models, Animal"
D004244,Dizziness
D062787,Drug Overdose
D064420,Drug-Related Side Effects and Adverse Reactions
D004417,Dyspnea
D004421,Dystonia
D004427,Ear Diseases
D004830,"Epilepsy, Tonic-Clonic"
D005128,Eye Diseases
D005221,Fatigue
D005234,Fatty Liver
D016766,Feline Infectious Peritonitis
D005317,Fetal Growth Retardation
D020233,"Gait Disorders, Neurologic"
D005767,Gastrointestinal Diseases
D005909,Glioblastoma
D006212,Hallucinations
D006232,"Hand, Foot and Mouth Disease"
D006261,Headache
D006311,Hearing Disorders
D034381,Hearing Loss
D006323,Heart Arrest
D006327,Heart Block
D006331,Heart Diseases
D006333,Heart Failure
D006461,Hemolysis
D006505,Hepatitis
D006934,Hypercalcemia
D017495,Hyperpigmentation
D007003,Hypoglycemia
D007008,Hypokalemia
D007022,Hypotension
D007024,"Hypotension, Orthostatic"
D000860,Hypoxia
C563476,Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal Dementia
D007249,Inflammation
D005585,Influenza in Birds
D007634,Keratitis
D007918,Leprosy
D015470,"Leukemia, Myeloid, Acute"
D008064,Lipidoses
D008101,"Liver Abscess, Amebic"
D008133,Long QT Syndrome
D008178,"Lupus Erythematosus, Cutaneous"
D008179,"Lupus Erythematosus, Discoid"
D008180,"Lupus Erythematosus, Systemic"
D008269,Macular Edema
D008288,Malaria
D016778,"Malaria, Falciparum"
D016780,"Malaria, Vivax"
D008708,Methemoglobinemia
D019964,Mood Disorders
D017520,Mucinoses
D018908,Muscle Weakness
D009133,Muscular Atrophy
D009135,Muscular Diseases
D009140,Musculoskeletal Diseases
D009157,Myasthenia Gravis
D009325,Nausea
D009336,Necrosis
D009361,Neoplasm Invasiveness
D009374,"Neoplasms, Experimental"
D009400,Nephrosclerosis
D009422,Nervous System Diseases
D009436,Neural Tube Defects
D019954,Neurobehavioral Manifestations
D009468,Neuromuscular Diseases
D020511,Neuromuscular Junction Diseases
D020879,Neuromuscular Manifestations
D010146,Pain
D010198,Pancytopenia
D010211,Papilledema
D018512,Parasitemia
D010273,"Parasitic Diseases, Animal"
D010291,Paresis
D010523,Peripheral Nervous System Diseases
D011041,Poisoning
D011115,Polyneuropathies
D011141,Polyuria
D017118,"Porphyria, Acute Intermittent"
D011297,Prenatal Exposure Delayed Effects
D049188,Prenatal Injuries
D011507,Proteinuria
D011537,Pruritus
D011605,"Psychoses, Substance-Induced"
D011618,Psychotic Disorders
D011693,Purpura
D012021,"Reflex, Abnormal"
D051437,Renal Insufficiency
D012164,Retinal Diseases
D012216,Rheumatic Diseases
D012507,Sarcoidosis
D012607,Scotoma
D012640,Seizures
D045169,Severe Acute Respiratory Syndrome
D012770,"Shock, Cardiogenic"
D012871,Skin Diseases
D012893,Sleep Wake Disorders
D013226,Status Epilepticus
D013274,Stomach Neoplasms
D019966,Substance-Related Disorders
D013575,Syncope
D017180,"Tachycardia, Ventricular"
D016171,Torsades de Pointes
D014522,Urethral Diseases
D001749,Urinary Bladder Neoplasms
C536522,Vacuolar myopathy
D018366,"Vasculitis, Leukocytoclastic, Cutaneous"
D014693,Ventricular Fibrillation
D020257,Ventricular Remodeling
D014786,Vision Disorders
D014839,Vomiting
D015431,Weight Loss
D000071243,Zika Virus Infection
D015746,Abdominal Pain
D000152,Acne Vulgaris
D000169,Acrodermatitis
C562707,"ACTH Deficiency, Isolated"
D055371,Acute Lung Injury
D000236,Adenoma
D000303,Adrenal Cortex Diseases
D000307,Adrenal Gland Diseases
D000312,"Adrenal Hyperplasia, Congenital"
D000309,Adrenal Insufficiency
D000419,Albuminuria
D000532,Altitude Sickness
D000568,Amenorrhea
D000648,"Amnesia, Retrograde"
D000740,Anemia
D000754,"Anemia, Refractory, with Excess of Blasts"
D000756,"Anemia, Sideroblastic"
D059445,Anhedonia
D000855,Anorexia
D000856,Anorexia Nervosa
D001008,Anxiety Disorders
D001037,Aphasia
D001169,"Arthritis, Experimental"
D001249,Asthma
D001259,Ataxia
D001284,Atrophy
D001342,Autonomic Nervous System Diseases
D053713,Azoospermia
D001724,Birth Weight
D001836,Body Weight Changes
D001855,Bone Marrow Diseases
D001919,Bradycardia
D001922,Brain Abscess
D001929,Brain Edema
D001930,Brain Injuries
D001932,Brain Neoplasms
D016535,Bronchial Hyperreactivity
D001997,Bronchopulmonary Dysplasia
D002051,Burkitt Lymphoma
D019559,Capillary Leak Syndrome
D000077216,"Carcinoma, Ovarian Epithelial"
D002305,Cardiac Tamponade
D018376,Cardiovascular Abnormalities
D002357,Cartilage Diseases
D002543,Cerebral Hemorrhage
D020202,"Cerebral Hemorrhage, Traumatic"
D002544,Cerebral Infarction
D002547,Cerebral Palsy
D002761,Cholangitis
D003072,Cognition Disorders
D003110,Colonic Neoplasms
D003221,Confusion
D003231,Conjunctivitis
D003248,Constipation
D065306,Corneal Injuries
D006259,Craniocerebral Trauma
D019465,Craniofacial Abnormalities
D003480,Cushing Syndrome
D003551,Cysticercosis
D003556,Cystitis
D003638,Deafness
D003681,Dehydration
D017449,"Dermatitis, Allergic Contact"
D003876,"Dermatitis, Atopic"
D002658,Developmental Disabilities
D018500,"Diabetes Insipidus, Nephrogenic"
D003967,Diarrhea
D004211,Disseminated Intravascular Coagulation
D050171,Dyslipidemias
D004415,Dyspepsia
