from_dbid,relation,to_dbid
DB01050,INTERACT,DB00211
DB01050,INTERACT,DB00221
DB01050,INTERACT,DB00315
DB01050,INTERACT,DB00368
DB01050,INTERACT,DB00450
DB01050,INTERACT,DB00561
DB01050,INTERACT,DB00572
DB01050,INTERACT,DB00601
DB01050,INTERACT,DB00610
DB01050,INTERACT,DB00614
DB01050,INTERACT,DB00699
DB01050,INTERACT,DB00723
DB01050,INTERACT,DB00753
DB01050,INTERACT,DB00777
DB01050,INTERACT,DB00805
DB01050,INTERACT,DB00816
DB01050,INTERACT,DB00830
DB01050,INTERACT,DB00867
DB01050,INTERACT,DB00901
DB01050,INTERACT,DB00935
DB01050,INTERACT,DB00952
DB01050,INTERACT,DB00998
DB01050,INTERACT,DB01064
DB01050,INTERACT,DB01102
DB01050,INTERACT,DB01126
DB01050,INTERACT,DB01189
DB01050,INTERACT,DB01247
DB01050,INTERACT,DB01288
DB01050,INTERACT,DB01291
DB01050,INTERACT,DB01363
DB01050,INTERACT,DB01364
DB01050,INTERACT,DB01366
DB01050,INTERACT,DB01407
DB01050,INTERACT,DB01408
DB01050,INTERACT,DB01472
DB01050,INTERACT,DB01579
DB01050,INTERACT,DB02032
DB01050,INTERACT,DB04017
DB01050,INTERACT,DB04581
DB01050,INTERACT,DB04820
DB01050,INTERACT,DB05395
DB01050,INTERACT,DB05562
DB01050,INTERACT,DB06153
DB01050,INTERACT,DB06190
DB01050,INTERACT,DB06678
DB01050,INTERACT,DB06690
DB01050,INTERACT,DB06694
DB01050,INTERACT,DB06701
DB01050,INTERACT,DB06706
DB01050,INTERACT,DB06707
DB01050,INTERACT,DB06764
DB01050,INTERACT,DB08810
DB01050,INTERACT,DB08841
DB01050,INTERACT,DB08925
DB01050,INTERACT,DB08941
DB01050,INTERACT,DB08954
DB01050,INTERACT,DB08957
DB01050,INTERACT,DB08985
DB01050,INTERACT,DB09202
DB01050,INTERACT,DB09203
DB01050,INTERACT,DB09243
DB01050,INTERACT,DB09246
DB01050,INTERACT,DB09248
DB01050,INTERACT,DB09249
DB01050,INTERACT,DB09250
DB01050,INTERACT,DB09251
DB01050,INTERACT,DB09252
DB01050,INTERACT,DB09253
DB01050,INTERACT,DB09254
DB01050,INTERACT,DB09273
DB01050,INTERACT,DB11124
DB01050,INTERACT,DB11373
DB01050,INTERACT,DB11428
DB01050,INTERACT,DB11481
DB01050,INTERACT,DB11541
DB01050,INTERACT,DB11543
DB01050,INTERACT,DB11556
DB01050,INTERACT,DB11755
DB01050,INTERACT,DB11871
DB01050,INTERACT,DB12100
DB01050,INTERACT,DB12248
DB01050,INTERACT,DB12313
DB01050,INTERACT,DB12361
DB01050,INTERACT,DB12551
DB01050,INTERACT,DB12779
DB01050,INTERACT,DB12846
DB01050,INTERACT,DB12927
DB01050,INTERACT,DB13064
DB01050,INTERACT,DB13251
DB01050,INTERACT,DB13323
DB01050,INTERACT,DB13341
DB01050,INTERACT,DB13378
DB01050,INTERACT,DB13398
DB01050,INTERACT,DB13453
DB01050,INTERACT,DB13520
DB01050,INTERACT,DB13559
DB01050,INTERACT,DB13692
DB01050,INTERACT,DB13777
DB01050,INTERACT,DB13781
DB01050,INTERACT,DB13852
DB01050,INTERACT,DB13875
DB01050,INTERACT,DB13917
DB01050,INTERACT,DB14010
DB01050,INTERACT,DB00679
DB01050,INTERACT,DB00899
DB01050,INTERACT,DB00937
DB01050,INTERACT,DB01255
DB01050,INTERACT,DB01365
DB01050,INTERACT,DB01403
DB01050,INTERACT,DB01442
DB01050,INTERACT,DB01454
DB01050,INTERACT,DB01467
DB01050,INTERACT,DB01484
DB01050,INTERACT,DB01509
DB01050,INTERACT,DB01556
DB01050,INTERACT,DB01576
DB01050,INTERACT,DB01608
DB01050,INTERACT,DB01614
DB01050,INTERACT,DB01622
DB01050,INTERACT,DB06711
DB01050,INTERACT,DB09480
DB01050,INTERACT,DB11477
DB01050,INTERACT,DB12080
DB01050,INTERACT,DB13108
DB01050,INTERACT,DB13624
DB01050,INTERACT,DB13703
DB01050,INTERACT,DB13940
DB01050,INTERACT,DB00191
DB01050,INTERACT,DB00247
DB01050,INTERACT,DB00353
DB01050,INTERACT,DB00370
DB01050,INTERACT,DB00589
DB01050,INTERACT,DB00708
DB01050,INTERACT,DB00865
DB01050,INTERACT,DB01049
DB01050,INTERACT,DB01186
DB01050,INTERACT,DB01216
DB01050,INTERACT,DB01238
DB01050,INTERACT,DB01591
DB01050,INTERACT,DB01624
DB01050,INTERACT,DB04829
DB01050,INTERACT,DB04946
DB01050,INTERACT,DB05271
DB01050,INTERACT,DB06016
DB01050,INTERACT,DB06148
