dbid,relation,uniprot
DB12010,TARGET,P43405
DB12010,TARGET,P0DMS8
DB12010,TARGET,O00519
DB12010,TARGET,Q99808
DB12010,TARGET,P22309
DB12010,TARGET,O76074
DB12010,TARGET,P09917
DB12010,TARGET,P25774
DB12010,TARGET,P07711
DB12010,TARGET,P00519
DB12010,TARGET,P62344
DB12010,TARGET,P9WI81
DB12010,TARGET,Q9UK32
DB12010,TARGET,P29597
DB12010,TARGET,Q8NI60
DB12010,TARGET,P23458
DB12010,TARGET,P08581
DB12010,TARGET,Q8IY84
DB12010,TARGET,Q9P289
DB12010,TARGET,P17612
DB12010,TARGET,Q9Y6E0
DB12010,TARGET,Q13188
DB12010,TARGET,P42680
DB12010,TARGET,Q9BYT3
DB12010,TARGET,Q8TDR2
DB12010,TARGET,Q9NRP7
DB12010,TARGET,Q15208
DB12010,TARGET,Q9Y2H1
DB12010,TARGET,Q9UEW8
DB12010,TARGET,Q7L7X3
DB12010,TARGET,Q9UL54
DB12010,TARGET,Q9H2K8
DB12010,TARGET,Q9UHD2
DB12010,TARGET,Q02763
DB12010,TARGET,Q15569
DB12010,TARGET,P36897
DB12010,TARGET,P37173
DB12010,TARGET,P35590
DB12010,TARGET,Q9UKI8
DB12010,TARGET,Q86UE8
DB12010,TARGET,Q9UKE5
DB12010,TARGET,Q13470
DB12010,TARGET,Q07912
DB12010,TARGET,Q59H18
DB12010,TARGET,Q9BXA7
DB12010,TARGET,P33981
DB12010,TARGET,P42681
DB12010,TARGET,Q06418
DB12010,TARGET,O75385
DB12010,TARGET,Q8IYT8
DB12010,TARGET,Q6PHR2
DB12010,TARGET,P30291
DB12010,TARGET,P07947
DB12010,TARGET,Q56UN5
DB12010,TARGET,Q9NYL2
DB12010,TARGET,P43403
DB12010,TARGET,Q2M2I8
DB12010,TARGET,P42684
DB12010,TARGET,Q04771
DB12010,TARGET,P36896
DB12010,TARGET,Q96D53
DB12010,TARGET,Q9UM73
DB12010,TARGET,Q8NFD2
DB12010,TARGET,O14965
DB12010,TARGET,Q96GD4
DB12010,TARGET,Q9UQB9
DB12010,TARGET,P30530
DB12010,TARGET,P51451
DB12010,TARGET,Q9NSY1
DB12010,TARGET,O00238
DB12010,TARGET,Q13873
DB12010,TARGET,P51813
DB12010,TARGET,P15056
DB12010,TARGET,Q06187
DB12010,TARGET,Q14012
DB12010,TARGET,Q8IU85
DB12010,TARGET,Q96NX5
DB12010,TARGET,Q9UQM7
DB12010,TARGET,Q13554
DB12010,TARGET,Q13557
DB12010,TARGET,Q13555
DB12010,TARGET,Q8N5S9
DB12010,TARGET,Q96RR4
DB12010,TARGET,O14936
DB12010,TARGET,P07498
DB12010,TARGET,P06493
DB12010,TARGET,Q6DT37
DB12010,TARGET,P11802
DB12010,TARGET,Q00532
