dbid,relation,se_id
DB01050,CAUSE,se_84
DB01050,CAUSE,se_178
DB01050,CAUSE,se_2
DB01050,CAUSE,se_202
DB01050,CAUSE,se_4
DB01050,CAUSE,se_5
DB01050,CAUSE,se_6
DB01050,CAUSE,se_7
DB01050,CAUSE,se_8
DB01050,CAUSE,se_90
DB01050,CAUSE,se_10
DB01050,CAUSE,se_181
DB01050,CAUSE,se_182
DB01050,CAUSE,se_109
DB01050,CAUSE,se_14
DB01050,CAUSE,se_48
DB01050,CAUSE,se_113
DB01050,CAUSE,se_52
DB01050,CAUSE,se_166
DB01050,CAUSE,se_176
DB01050,CAUSE,se_177
DB01050,CAUSE,se_167
DB01050,CAUSE,se_122
DB01050,CAUSE,se_23
DB01050,CAUSE,se_24
DB01050,CAUSE,se_25
DB01050,CAUSE,se_127
DB01050,CAUSE,se_27
DB01050,CAUSE,se_28
DB01050,CAUSE,se_29
DB01050,CAUSE,se_30
DB01050,CAUSE,se_201
DB01050,CAUSE,se_32
DB01050,CAUSE,se_33
DB00503,CAUSE,se_190
DB00503,CAUSE,se_178
DB00503,CAUSE,se_36
DB00503,CAUSE,se_37
DB00503,CAUSE,se_38
DB00503,CAUSE,se_201
DB00503,CAUSE,se_40
DB00503,CAUSE,se_41
DB00503,CAUSE,se_42
DB00503,CAUSE,se_43
DB00503,CAUSE,se_181
DB00503,CAUSE,se_109
DB00503,CAUSE,se_46
DB00503,CAUSE,se_47
DB00503,CAUSE,se_48
DB00503,CAUSE,se_176
DB00503,CAUSE,se_200
DB00503,CAUSE,se_180
DB00503,CAUSE,se_52
DB00503,CAUSE,se_119
DB00503,CAUSE,se_177
DB00503,CAUSE,se_166
DB00503,CAUSE,se_167
DB00503,CAUSE,se_202
DB00503,CAUSE,se_58
DB00503,CAUSE,se_59
DB00503,CAUSE,se_60
DB01234,CAUSE,se_198
DB01234,CAUSE,se_199
DB01234,CAUSE,se_200
DB01234,CAUSE,se_201
DB01234,CAUSE,se_202
DB01234,CAUSE,se_203
DB01234,CAUSE,se_204
DB01234,CAUSE,se_205
DB01234,CAUSE,se_206
DB01234,CAUSE,se_207
DB01234,CAUSE,se_208
DB01234,CAUSE,se_209
DB01234,CAUSE,se_210
DB01234,CAUSE,se_211
DB01234,CAUSE,se_212
DB01234,CAUSE,se_213
DB01234,CAUSE,se_214
DB01234,CAUSE,se_215
DB01234,CAUSE,se_216
DB01264,CAUSE,se_201
DB01264,CAUSE,se_178
DB01264,CAUSE,se_200
DB01264,CAUSE,se_180
DB01264,CAUSE,se_84
DB01264,CAUSE,se_181
DB01264,CAUSE,se_86
DB01264,CAUSE,se_87
DB01264,CAUSE,se_88
DB01264,CAUSE,se_89
DB01264,CAUSE,se_90
DB01264,CAUSE,se_91
DB01264,CAUSE,se_176
DB01264,CAUSE,se_117
DB01264,CAUSE,se_177
DB01264,CAUSE,se_166
DB01264,CAUSE,se_167
DB01264,CAUSE,se_97
DB00207,CAUSE,se_176
DB00207,CAUSE,se_178
DB00207,CAUSE,se_200
DB00207,CAUSE,se_180
DB00207,CAUSE,se_201
DB00207,CAUSE,se_103
DB00207,CAUSE,se_202
