gene_idx,relation,uniprot
6850,ENCODE,P43405
140,ENCODE,P0DMS8
2166,ENCODE,O00519
2030,ENCODE,Q99808
54658,ENCODE,P22309
8654,ENCODE,O76074
240,ENCODE,P09917
1520,ENCODE,P25774
1514,ENCODE,P07711
25,ENCODE,P00519
812762,ENCODE,P62344
887072,ENCODE,P9WI81
45423973,ENCODE,P9WI81
27330,ENCODE,Q9UK32
7297,ENCODE,P29597
56997,ENCODE,Q8NI60
3716,ENCODE,P23458
4233,ENCODE,P08581
167359,ENCODE,Q8IY84
51765,ENCODE,Q9P289
5566,ENCODE,P17612
8428,ENCODE,Q9Y6E0
6788,ENCODE,Q13188
7006,ENCODE,P42680
65975,ENCODE,Q9BYT3
140901,ENCODE,Q8TDR2
27148,ENCODE,Q9NRP7
11329,ENCODE,Q15208
23012,ENCODE,Q9Y2H1
27347,ENCODE,Q9UEW8
57551,ENCODE,Q7L7X3
9344,ENCODE,Q9UL54
51347,ENCODE,Q9H2K8
29110,ENCODE,Q9UHD2
7010,ENCODE,Q02763
7016,ENCODE,Q15569
7046,ENCODE,P36897
7048,ENCODE,P37173
7075,ENCODE,P35590
9874,ENCODE,Q9UKI8
11011,ENCODE,Q86UE8
23043,ENCODE,Q9UKE5
8711,ENCODE,Q13470
10188,ENCODE,Q07912
51086,ENCODE,Q59H18
100526835,ENCODE,Q59H18
83942,ENCODE,Q9BXA7
7272,ENCODE,P33981
7294,ENCODE,P42681
7301,ENCODE,Q06418
8408,ENCODE,O75385
9706,ENCODE,Q8IYT8
25989,ENCODE,Q6PHR2
7465,ENCODE,P30291
7525,ENCODE,P07947
80122,ENCODE,Q56UN5
51776,ENCODE,Q9NYL2
7535,ENCODE,P43403
22848,ENCODE,Q2M2I8
27,ENCODE,P42684
90,ENCODE,Q04771
91,ENCODE,P36896
79934,ENCODE,Q96D53
238,ENCODE,Q9UM73
255239,ENCODE,Q8NFD2
6790,ENCODE,O14965
9212,ENCODE,Q96GD4
6795,ENCODE,Q9UQB9
558,ENCODE,P30530
640,ENCODE,P51451
55589,ENCODE,Q9NSY1
658,ENCODE,O00238
659,ENCODE,Q13873
660,ENCODE,P51813
673,ENCODE,P15056
695,ENCODE,Q06187
8536,ENCODE,Q14012
57118,ENCODE,Q8IU85
57172,ENCODE,Q96NX5
815,ENCODE,Q9UQM7
816,ENCODE,Q13554
817,ENCODE,Q13557
818,ENCODE,Q13555
84254,ENCODE,Q8N5S9
10645,ENCODE,Q96RR4
8573,ENCODE,O14936
1448,ENCODE,P07498
983,ENCODE,P06493
55561,ENCODE,Q6DT37
1019,ENCODE,P11802
8814,ENCODE,Q00532
8999,ENCODE,Q92772
1111,ENCODE,O14757
11200,ENCODE,O96017
11113,ENCODE,O14578
1195,ENCODE,P49759
1196,ENCODE,P49760
1198,ENCODE,P49761
57396,ENCODE,Q9HAZ1
1436,ENCODE,P07333
1445,ENCODE,P41240
1452,ENCODE,P48729
1457,ENCODE,P68400
1459,ENCODE,P19784
1612,ENCODE,P53355
23604,ENCODE,Q9UIK4
1613,ENCODE,O43293
9201,ENCODE,O15075
166614,ENCODE,Q8N568
85443,ENCODE,Q9C098
780,ENCODE,Q08345
4921,ENCODE,Q16832
1859,ENCODE,Q13627
9149,ENCODE,Q9Y463
1956,ENCODE,P00533
27102,ENCODE,Q9BQI3
5610,ENCODE,P19525
440275,ENCODE,Q9P2K8
2041,ENCODE,P21709
1969,ENCODE,P29317
2042,ENCODE,P29320
2043,ENCODE,P54764
2044,ENCODE,P54756
285220,ENCODE,Q9UF33
2045,ENCODE,Q15375
2046,ENCODE,P29322
2047,ENCODE,P54762
2048,ENCODE,P29323
2050,ENCODE,P54760
2051,ENCODE,O15197
2064,ENCODE,P04626
2066,ENCODE,Q15303
2081,ENCODE,O75460
2241,ENCODE,P16591
2242,ENCODE,P07332
2260,ENCODE,P11362
2263,ENCODE,P21802
2261,ENCODE,P22607
2268,ENCODE,P09769
2321,ENCODE,P17948
2322,ENCODE,P36888
2324,ENCODE,P35916
2475,ENCODE,P42345
2444,ENCODE,P42685
2534,ENCODE,P06241
2580,ENCODE,O14976
2931,ENCODE,P49840
2932,ENCODE,P49841
3055,ENCODE,P08631
28996,ENCODE,Q9H2X6
10114,ENCODE,Q9H422
22858,ENCODE,Q9UPZ9
3551,ENCODE,O14920
9641,ENCODE,Q14164
3643,ENCODE,P06213
3645,ENCODE,P14616
3654,ENCODE,P51617
11213,ENCODE,Q9Y616
51135,ENCODE,Q9NWZ3
3702,ENCODE,Q08881
3717,ENCODE,O60674
3718,ENCODE,P52333
3791,ENCODE,P35968
23387,ENCODE,Q9Y2K2
3815,ENCODE,P10721
9113,ENCODE,O95835
3932,ENCODE,P06239
3984,ENCODE,P53667
3985,ENCODE,P53671
120892,ENCODE,Q5S007
4058,ENCODE,P29376
