gene_idx,name
6850,SYK
140,ADORA3
2166,FAAH
2030,SLC29A1
54658,UGT1A1
8654,PDE5A
240,ALOX5
1520,CTSS
1514,CTSL
25,ABL1
812762,PF3D7_0217500
887072,pknB
45423973,pknB
27330,RPS6KA6
7297,TYK2
56997,COQ8A
3716,JAK1
4233,MET
167359,NIM1K
51765,STK26
5566,PRKACA
8428,STK24
6788,STK3
7006,TEC
65975,STK33
140901,STK35
27148,STK36
11329,STK38
23012,STK38L
27347,STK39
57551,TAOK1
9344,TAOK2
51347,TAOK3
29110,TBK1
7010,TEK
7016,TESK1
7046,TGFBR1
7048,TGFBR2
7075,TIE1
9874,TLK1
11011,TLK2
23043,TNIK
8711,TNK1
10188,TNK2
51086,TNNI3K
100526835,FPGT-TNNI3K
83942,TSSK1B
7272,TTK
7294,TXK
7301,TYRO3
8408,ULK1
9706,ULK2
25989,ULK3
7465,WEE1
7525,YES1
80122,MAP3K19
51776,MAP3K20
7535,ZAP70
22848,AAK1
27,ABL2
90,ACVR1
91,ACVR1B
79934,COQ8B
238,ALK
255239,ANKK1
6790,AURKA
9212,AURKB
6795,AURKC
558,AXL
640,BLK
55589,BMP2K
658,BMPR1B
659,BMPR2
660,BMX
673,BRAF
695,BTK
8536,CAMK1
57118,CAMK1D
57172,CAMK1G
815,CAMK2A
816,CAMK2B
817,CAMK2D
818,CAMK2G
84254,CAMKK1
10645,CAMKK2
8573,CASK
1448,CSN3
983,CDK1
55561,CDC42BPG
1019,CDK4
8814,CDKL1
8999,CDKL2
1111,CHEK1
11200,CHEK2
11113,CIT
1195,CLK1
1196,CLK2
1198,CLK3
57396,CLK4
1436,CSF1R
1445,CSK
1452,CSNK1A1
1457,CSNK2A1
1459,CSNK2A2
1612,DAPK1
23604,DAPK2
1613,DAPK3
9201,DCLK1
166614,DCLK2
85443,DCLK3
780,DDR1
4921,DDR2
1859,DYRK1A
9149,DYRK1B
1956,EGFR
27102,EIF2AK1
5610,EIF2AK2
440275,EIF2AK4
2041,EPHA1
1969,EPHA2
2042,EPHA3
2043,EPHA4
2044,EPHA5
285220,EPHA6
2045,EPHA7
2046,EPHA8
2047,EPHB1
2048,EPHB2
2050,EPHB4
2051,EPHB6
2064,ERBB2
2066,ERBB4
2081,ERN1
2241,FER
2242,FES
2260,FGFR1
2263,FGFR2
2261,FGFR3
2268,FGR
2321,FLT1
2322,FLT3
2324,FLT4
2475,MTOR
2444,FRK
2534,FYN
2580,GAK
2931,GSK3A
2932,GSK3B
3055,HCK
28996,HIPK2
10114,HIPK3
22858,CILK1
3551,IKBKB
9641,IKBKE
3643,INSR
3645,INSRR
3654,IRAK1
11213,IRAK3
51135,IRAK4
3702,ITK
3717,JAK2
3718,JAK3
3791,KDR
23387,SIK3
3815,KIT
9113,LATS1
3932,LCK
3984,LIMK1
3985,LIMK2
120892,LRRK2
4058,LTK
4067,LYN
5605,MAP2K2
5606,MAP2K3
5607,MAP2K5
5608,MAP2K6
4214,MAP3K1
4294,MAP3K10
4296,MAP3K11
7786,MAP3K12
9175,MAP3K13
389840,MAP3K15
10746,MAP3K2
4215,MAP3K3
4216,MAP3K4
9064,MAP3K6
4293,MAP3K9
11184,MAP4K1
5871,MAP4K2
8491,MAP4K3
9448,MAP4K4
11183,MAP4K5
5602,MAPK10
5603,MAPK13
1432,MAPK14
225689,MAPK15
