se_idx,name
se_0,constipation
se_1,diarrhea
se_2,gas or bloating
se_3,dizziness
se_4,nervousness
se_5,ringing in the ears
se_6,unexplained weight gain
se_7,shortness of breath or difficulty breathing
se_8,"swelling of the abdomen, feet, ankles, or lower legs"
se_9,fever
se_10,blisters
se_11,rash
se_12,itching
se_13,hives
se_14,"swelling of the eyes, face, throat, arms, or hands"
se_15,difficulty breathing or swallowing
se_16,hoarseness
se_17,excessive tiredness
se_18,pain in the upper right part of the stomach
se_19,nausea
se_20,loss of appetite
se_21,yellowing of the skin or eyes
se_22,flu-like symptoms
se_23,pale skin
se_24,fast heartbeat
se_25,"cloudy, discolored, or bloody urine"
se_26,back pain
se_27,difficult or painful urination
se_28,"blurred vision, changes in color vision, or other vision problems"
se_29,red or painful eyes
se_30,stiff neck
se_31,headache
se_32,confusion
se_33,aggression
se_34,drowsiness
se_35,diarrhea
se_36,gas
se_37,heartburn
se_38,change in ability to taste food
se_39,headache
se_40,"numbness, burning, or tingling of the hands, feet, or area around the mouth"
se_41,muscle or joint pain
se_42,"stomach pain, nausea, and vomiting"
se_43,blistering or peeling of the skin
se_44,rash
se_45,hives
se_46,"swelling of the eyes, face, tongue, lips, or throat"
se_47,tightening of the throat
se_48,difficulty breathing or swallowing
se_49,nausea
se_50,vomiting
se_51,stomach pain
se_52,excessive tiredness
se_53,lack of energy
se_54,loss of appetite
se_55,pain in the upper right part of the stomach
se_56,yellowing of the skin or eyes
se_57,dizziness
se_58,lightheadedness
se_59,loss of consciousness
se_60,irregular heartbeat
se_61,upset stomach
se_62,stomach irritation
se_63,vomiting
se_64,headache
se_65,dizziness
se_66,insomnia
se_67,restlessness
se_68,depression
se_69,anxiety
se_70,acne
se_71,increased hair growth
se_72,easy bruising
se_73,irregular or absent menstrual periods
se_74,skin rash
se_75,"swollen face, lower legs, or ankles"
se_76,vision problems
se_77,cold or infection that lasts a long time
se_78,muscle weakness
se_79,black or tarry stool
se_80,headache
se_81,diarrhea
se_82,vomiting
se_83,stomach pain
se_84,constipation
se_85,rash
se_86,peeling or blistering skin
se_87,mouth sores
se_88,"red, swollen, itchy, or teary eyes"
se_89,muscle or joint aches
se_90,fever
se_91,"swelling, tenderness, redness, or other signs of infection"
se_92,nausea
se_93,extreme tiredness
se_94,loss of appetite
